Sat Nov 23 22:47:16 2024    /Users/haydentedrake/Desktop/UROP2024/pbh_mass/output.prof

         7689405 function calls (7644922 primitive calls) in 21.312 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      855    0.009    0.000    0.009    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   128583    0.009    0.000    0.009    0.000 {built-in method builtins.issubclass}
    11284    0.009    0.000    0.015    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/font_manager.py:1120(score_family)
      218    0.009    0.000    0.031    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/artist.py:1519(get_setters)
    62427    0.009    0.000    0.009    0.000 /Users/haydentedrake/Desktop/UROP2024/pbh_mass/mass_plot.py:149(event_mass_threshold)
        1    0.009    0.009    0.009    0.009 {built-in method set_icon}
    621/1    0.009    0.000   21.314   21.314 {built-in method builtins.exec}
    62539    0.008    0.000    0.013    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/linalg/linalg.py:140(isComplexType)
        4    0.008    0.002    0.008    0.002 {built-in method matplotlib._path.path_intersects_rectangle}
     1029    0.008    0.000    0.197    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      575    0.008    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
18907/18882    0.008    0.000    0.010    0.000 {method 'join' of 'str' objects}
    66462    0.008    0.000    0.008    0.000 {method 'get' of 'dict' objects}
     6486    0.007    0.000    0.013    0.000 /opt/anaconda3/lib/python3.12/inspect.py:2739(__init__)
       66    0.007    0.000    0.007    0.000 {built-in method posix.listdir}
10264/176    0.007    0.000    0.015    0.000 /opt/anaconda3/lib/python3.12/copy.py:118(deepcopy)
      723    0.007    0.000    0.216    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     1296    0.007    0.000    0.020    0.000 <frozen importlib._bootstrap>:304(acquire)
     4144    0.007    0.000    0.098    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/artist.py:1469(get_valid_values)
