Sat Nov 23 22:47:16 2024    /Users/haydentedrake/Desktop/UROP2024/pbh_mass/output.prof

         7689405 function calls (7644922 primitive calls) in 21.312 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       68    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/core/shape_base.py:23(atleast_1d)
      250    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/socket.py:94(<lambda>)
        1    0.000    0.000    0.188    0.188 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/image.py:1(<module>)
       25    0.000    0.000    0.005    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/font_manager.py:858(set_fontconfig_pattern)
       19    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/inspect.py:1463(formatannotation)
       32    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/warnings.py:484(__enter__)
      147    0.000    0.000    0.000    0.000 {built-in method math.sin}
       30    0.000    0.000    0.001    0.000 /opt/anaconda3/lib/python3.12/pathlib.py:1081(glob)
        2    0.000    0.000    0.042    0.021 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/legend.py:1161(_find_best_position)
        1    0.000    0.000    0.004    0.004 /opt/anaconda3/lib/python3.12/site-packages/scipy/sparse/_base.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/axes/_axes.py:4639(scatter)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:58(RendererAgg)
        1    0.000    0.000    0.578    0.578 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/__init__.py:244(_check_versions)
       25    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/core/_methods.py:90(_clip)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/gridspec.py:521(SubplotSpec)
       81    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/artist.py:920(_set_gc_clip)
       37    0.000    0.000    0.018    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:94(draw_path)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/scipy/sparse/_base.py:63(_spbase)
        1    0.000    0.000    0.020    0.020 /opt/anaconda3/lib/python3.12/site-packages/scipy/special/_support_alternative_backends.py:1(<module>)
       64    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/transforms.py:302(xmin)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/figure.py:3013(set_size_inches)
        1    0.000    0.000    0.137    0.137 /opt/anaconda3/lib/python3.12/site-packages/scipy/interpolate/_rbfinterp.py:1(<module>)
      208    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/core/multiarray.py:503(can_cast)
        1    0.000    0.000    0.715    0.715 /opt/anaconda3/lib/python3.12/site-packages/scipy/sparse/linalg/_eigen/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/polynomial/polynomial.py:1472(Polynomial)
       24    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/axis.py:1600(_get_tick_label_size)
      511    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/font_manager.py:713(get_file)
       35    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/ipaddress.py:2256(__init__)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/core/arrayprint.py:1(<module>)
       32    0.000    0.000    0.000    0.000 <frozen _collections_abc>:974(update)
       89    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       11    0.000    0.000    0.001    0.000 /opt/anaconda3/lib/python3.12/typing.py:1850(__new__)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/_compat_pickle.py:1(<module>)
        1    0.000    0.000    0.148    0.148 /opt/anaconda3/lib/python3.12/site-packages/scipy/optimize/_linprog_ip.py:1(<module>)
       16    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/core/_type_aliases.py:58(bitname)
        1    0.000    0.000    0.146    0.146 /opt/anaconda3/lib/python3.12/site-packages/scipy/sparse/_lil.py:1(<module>)
      187    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/figure.py:2769(_set_dpi)
        1    0.000    0.000    0.001    0.001 /opt/anaconda3/lib/python3.12/site-packages/pyparsing/helpers.py:545(_makeTags)
       27    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.124    0.062 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/mathtext.py:81(_parse_cached)
       32    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/lib/twodim_base.py:234(diag)
       52    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/core/_internal.py:872(_ufunc_doc_signature_formatter)
      146    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/text.py:298(set_rotation_mode)
       28    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/pathlib.py:618(stem)
       29    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/logging/__init__.py:1497(__init__)
      376    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/axes/_base.py:840(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
      329    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/typing.py:1630(__eq__)
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/ticker.py:803(_set_format)
       67    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/transforms.py:307(ymin)
       91    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/transforms.py:341(intervaly)
        1    0.000    0.000    0.003    0.003 /opt/anaconda3/lib/python3.12/site-packages/scipy/_lib/array_api_compat/numpy/linalg.py:1(<module>)
       25    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/_api/__init__.py:213(__getattr__)
       94    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       50    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/path.py:737(unit_rectangle)
      101    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/axis.py:538(formatter)
    92/86    0.000    0.000    0.001    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/axes/_base.py:850(viewLim)
      128    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/axis.py:201(_pad)
      485    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/font_manager.py:871(get_math_fontfamily)
        1    0.000    0.000    0.143    0.143 /opt/anaconda3/lib/python3.12/site-packages/scipy/linalg/_interpolative_backend.py:1(<module>)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/_mathtext.py:1977(set_names_and_parse_actions)
        1    0.000    0.000    2.499    2.499 /Users/haydentedrake/Desktop/UROP2024/pbh_mass/mass_plot.py:133(solve_Mdot)
        1    0.000    0.000    0.002    0.002 /opt/anaconda3/lib/python3.12/site-packages/scipy/sparse/linalg/_matfuncs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'argmin' of 'numpy.ndarray' objects}
       81    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/backend_bases.py:879(set_clip_path)
       64    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/transforms.py:312(xmax)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/pyparsing/unicode.py:99(identbodychars)
       47    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/rcsetup.py:382(validate_fontsize)
      196    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/lines.py:550(set_markevery)
       34    0.000    0.000    0.001    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/artist.py:1226(_cm_set)
        1    0.000    0.000    0.012    0.012 /opt/anaconda3/lib/python3.12/site-packages/numpy/_typing/__init__.py:1(<module>)
        3    0.000    0.000    0.001    0.000 /opt/anaconda3/lib/python3.12/tokenize.py:445(open)
        1    0.000    0.000    0.001    0.001 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/legend.py:851(_init_legend_box)
      137    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/artist.py:1109(set_zorder)
        1    0.000    0.000    0.002    0.002 /opt/anaconda3/lib/python3.12/site-packages/dateutil/rrule.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/_typing/_add_docstring.py:27(_parse_docstrings)
        1    0.000    0.000    0.145    0.145 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/cbook.py:1(<module>)
       22    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/path.py:413(iter_bezier)
        1    0.000    0.000    0.131    0.131 /opt/anaconda3/lib/python3.12/site-packages/scipy/optimize/_linesearch.py:1(<module>)
        1    0.000    0.000    0.009    0.009 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/font_manager.py:1(<module>)
       52    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/ipaddress.py:1920(__init__)
       13    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/ticker.py:2442(nonsingular)
   113/99    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
       76    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/text.py:686(_get_wrapped_text)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/scipy/sparse/_data.py:1(<module>)
       20    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/colors.py:1202(reversed)
       24    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/offsetbox.py:70(_get_packed_offsets)
        1    0.000    0.000    0.174    0.174 /opt/anaconda3/lib/python3.12/site-packages/scipy/sparse/_csr.py:1(<module>)
        1    0.000    0.000    0.131    0.131 /opt/anaconda3/lib/python3.12/site-packages/scipy/optimize/_lbfgsb_py.py:1(<module>)
       54    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/markers.py:762(_set_tickright)
       51    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/pyparsing/core.py:585(_setResultsName)
      144    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/text.py:1339(set_parse_math)
        1    0.000    0.000    0.018    0.018 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/backends/backend_macosx.py:167(destroy)
       27    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/artist.py:45(allow_rasterization)
        1    0.000    0.000    0.002    0.002 /Users/haydentedrake/Desktop/UROP2024/pbh_mass/mass_plot.py:15(find_explosion_time)
       53    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/pathlib.py:551(drive)
       27    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/re/_compiler.py:407(_generate_overlap_table)
       18    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/core/arrayprint.py:1588(_guarded_repr_or_str)
      257    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/hmac.py:19(<genexpr>)
       35    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/cbook.py:2114(__iter__)
    13/11    0.000    0.000    5.236    0.476 /opt/anaconda3/lib/python3.12/importlib/__init__.py:73(import_module)
       68    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/inspect.py:2488(_descriptor_get)
       10    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/_mathtext.py:2445(subsuper)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/scipy/integrate/_ivp/dop853_coefficients.py:1(<module>)
      324    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/_api/__init__.py:78(<genexpr>)
       24    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/offsetbox.py:151(_get_aligned_offsets)
       85    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
       17    0.000    0.000    0.003    0.000 /opt/anaconda3/lib/python3.12/traceback.py:221(extract_stack)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/ctypeslib.py:360(_get_scalar_type_map)
        1    0.000    0.000    0.332    0.332 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/backends/backend_macosx.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'update' of 'matplotlib.backends._macosx.FigureCanvas' objects}
        8    0.000    0.000    0.003    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/patches.py:623(draw)
      369    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/enum.py:820(<genexpr>)
        1    0.000    0.000    0.133    0.133 /opt/anaconda3/lib/python3.12/site-packages/scipy/optimize/_tnc.py:1(<module>)
       11    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/typing.py:1123(_generic_init_subclass)
      107    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/cbook.py:1914(_str_lower_equal)
        8    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/sysconfig.py:249(_subst_vars)
      265    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/pyparsing/core.py:3991(<genexpr>)
       81    0.000    0.000    0.001    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/backend_bases.py:635(new_gc)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/figure.py:123(__init__)
        1    0.000    0.000    0.013    0.013 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/lines.py:1(<module>)
      135    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/pyparsing/core.py:2409(_generateDefaultName)
      483    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/typing.py:781(<genexpr>)
      112    0.000    0.000    0.000    0.000 {built-in method math.floor}
       54    0.000    0.000    0.001    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/axis.py:477(_get_text1_transform)
       12    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/axes/_base.py:2546(_process_unit_info)
        1    0.000    0.000    3.570    3.570 /opt/anaconda3/lib/python3.12/site-packages/scipy/integrate/_bvp.py:1(<module>)
        9    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/core/getlimits.py:685(__init__)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x106135bc0}
      372    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/artist.py:930(get_rasterized)
        1    0.000    0.000    0.139    0.139 /opt/anaconda3/lib/python3.12/site-packages/scipy/optimize/_lsq/lsq_linear.py:1(<module>)
       36    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/dataclasses.py:701(_is_type)
        1    0.000    0.000    0.000    0.000 {built-in method posix.scandir}
       49    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:42(get_hinting_flag)
        4    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/collections.py:978(set_sizes)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/__init__.py:351(_sanity_check)
      384    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/enum.py:1287(name)
        1    0.000    0.000    0.188    0.188 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/axes/_base.py:3005(_update_title_position)
        1    0.000    0.000    0.026    0.026 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/style/core.py:1(<module>)
        5    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/scipy/_lib/decorator.py:127(update)
        1    0.000    0.000    0.140    0.140 /opt/anaconda3/lib/python3.12/site-packages/scipy/interpolate/_rgi.py:1(<module>)
     28/4    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/_mathtext.py:1612(hlist_out)
       25    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/scipy/_lib/_util.py:414(<genexpr>)
       60    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/pathlib.py:1164(__new__)
        1    0.000    0.000    0.013    0.013 /opt/anaconda3/lib/python3.12/site-packages/numpy/core/shape_base.py:1(<module>)
        1    0.000    0.000    0.005    0.005 /opt/anaconda3/lib/python3.12/site-packages/numpy/ma/__init__.py:1(<module>)
       18    0.000    0.000    0.002    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/ticker.py:2347(__call__)
      136    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/patches.py:811(rotation_point)
      108    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/pyparsing/core.py:2412(parseImpl)
        1    0.000    0.000    0.002    0.002 /opt/anaconda3/lib/python3.12/site-packages/numpy/_typing/_dtype_like.py:1(<module>)
       24    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/_api/deprecation.py:190(finalize)
      147    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/PIL/TiffTags.py:35(__new__)
      144    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/text.py:321(set_antialiased)
       45    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/typing.py:1004(_typevar_subst)
        2    0.000    0.000    0.031    0.016 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/axis.py:1415(draw)
        1    0.000    0.000    0.136    0.136 /opt/anaconda3/lib/python3.12/site-packages/scipy/optimize/_lsq/trf_linear.py:1(<module>)
      230    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/pyparsing/results.py:264(__bool__)
        4    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/inspect.py:3108(_hash_basis)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/bezier.py:1(<module>)
        1    0.000    0.000    0.003    0.003 /opt/anaconda3/lib/python3.12/site-packages/scipy/optimize/_lsq/least_squares.py:1(<module>)
   134/33    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/_mathtext.py:1801(names)
      329    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/figure.py:2766(_get_dpi)
      248    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/patches.py:2343(<genexpr>)
        1    0.000    0.000    0.004    0.004 /opt/anaconda3/lib/python3.12/urllib/parse.py:1(<module>)
        8    0.000    0.000    0.002    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/colors.py:1673(make_norm_from_scale)
      6/1    0.000    0.000    0.025    0.025 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/offsetbox.py:374(draw)
      233    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/path.py:223(codes)
       21    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/functools.py:649(cache)
      372    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/artist.py:957(get_agg_filter)
       67    0.000    0.000    0.001    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/axis.py:2310(getter)
       32    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/warnings.py:505(__exit__)
        1    0.000    0.000    0.007    0.007 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/backend_bases.py:2636(__init__)
        1    0.000    0.000    0.131    0.131 /opt/anaconda3/lib/python3.12/site-packages/scipy/integrate/_quadpack_py.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /opt/anaconda3/lib/python3.12/site-packages/scipy/_lib/array_api_compat/common/_aliases.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/transforms.py:211(BboxBase)
        1    0.000    0.000    0.006    0.006 /opt/anaconda3/lib/python3.12/pathlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/scipy/sparse/_compressed.py:22(_cs_matrix)
        2    0.000    0.000    0.002    0.001 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/patches.py:738(__init__)
       30    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/dataclasses.py:864(_set_new_attribute)
       23    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/core/overrides.py:177(decorator)
      181    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/pyparsing/core.py:4234(<genexpr>)
       41    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/packaging/version.py:207(<genexpr>)
       10    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/transforms.py:327(max)
      511    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/enum.py:1185(__init__)
       56    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/ipaddress.py:533(_split_addr_prefix)
       74    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/typing.py:1584(<genexpr>)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/scipy/interpolate/_cubic.py:1(<module>)
       54    0.000    0.000    0.001    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/axis.py:480(_get_text2_transform)
        1    0.000    0.000    0.004    0.004 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/_mathtext.py:1(<module>)
       21    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/ipaddress.py:1502(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method posix.access}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/scipy/interpolate/_interpolate.py:690(_call_linear)
        1    0.000    0.000    0.387    0.387 /opt/anaconda3/lib/python3.12/site-packages/numpy/core/overrides.py:1(<module>)
      356    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/enum.py:1292(value)
      128    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/axis.py:220(get_tick_padding)
       18    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/cycler.py:52(_process_keys)
        1    0.000    0.000    0.000    0.000 {method 'accumulate' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/pickle.py:1179(_Unpickler)
       59    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/_api/__init__.py:245(method)
        7    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/ctypes/__init__.py:73(CFUNCTYPE)
       16    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/bezier.py:15(_comb)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/scipy/interpolate/_ndbspline.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/scale.py:737(_get_scale_docs)
      257    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/hmac.py:20(<genexpr>)
        6    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/axis.py:2559(get_tick_space)
        1    0.000    0.000    0.139    0.139 /opt/anaconda3/lib/python3.12/site-packages/scipy/optimize/_linprog_rs.py:1(<module>)
      255    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/core/fromnumeric.py:195(_reshape_dispatcher)
       32    0.000    0.000    0.000    0.000 {built-in method numpy.frompyfunc}
       64    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/axis.py:205(_apply_tickdir)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/PIL/ImageColor.py:1(<module>)
      191    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/pyparsing/core.py:1742(leave_whitespace)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/axis.py:633(__init__)
       35    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
        1    0.000    0.000    0.141    0.141 /opt/anaconda3/lib/python3.12/site-packages/scipy/sparse/linalg/_dsolve/linsolve.py:1(<module>)
        1    0.000    0.000    0.006    0.006 /opt/anaconda3/lib/python3.12/site-packages/pyparsing/common.py:1(<module>)
       44    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/transforms.py:795(unit)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/scipy/sparse/_construct.py:1(<module>)
       32    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/__init__.py:671(__init__)
        1    0.000    0.000    0.007    0.007 /opt/anaconda3/lib/python3.12/site-packages/dateutil/tz/tz.py:1(<module>)
      287    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.009    0.009 /opt/anaconda3/lib/python3.12/site-packages/scipy/sparse/linalg/_isolve/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/scipy/sparse/_dia.py:1(<module>)
       50    0.000    0.000    0.000    0.000 {built-in method math.isfinite}
       54    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/markers.py:266(__bool__)
        1    0.000    0.000    0.001    0.001 /opt/anaconda3/lib/python3.12/site-packages/PIL/ExifTags.py:21(Base)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/transforms.py:84(TransformNode)
       37    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/linalg/linalg.py:159(_commonType)
       27    0.000    0.000    0.001    0.000 <frozen posixpath>:423(realpath)
        1    0.000    0.000    0.001    0.001 /opt/anaconda3/lib/python3.12/site-packages/scipy/sparse/linalg/_expm_multiply.py:1(<module>)
     54/4    0.000    0.000    0.021    0.005 /opt/anaconda3/lib/python3.12/site-packages/pyparsing/core.py:5443(parseImpl)
       12    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/axis.py:1069(_translate_tick_params)
